RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
13016,Joe Allen,,,,,
13017,,,,,,
13018,Terrence Hayes,Thomas Shervey,Doug Clove,Noah Ernst,,
13019,Loretta Smith,,,,,
13024,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
13064,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
13065,Terrence Hayes,Candace Avalos,Steph Routh,,,
13067,Candace Avalos,,,,,
13079,Steph Routh,,,,,
13080,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
13081,Noah Ernst,Timur Ender,Candace Avalos,,,
13082,Jamie Dunphy,Steph Routh,Doug Clove,David Linn,,
13083,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
13085,Peggy Sue Owens,Doug Clove,Loretta Smith,Jamie Dunphy,Michael (Mike) Sands,Joe Allen
13086,Peggy Sue Owens,,,,,
13094,Loretta Smith,Terrence Hayes,Steph Routh,Michael (Mike) Sands,David Linn,Joe Allen
13102,Terrence Hayes,Loretta Smith,Steph Routh,Jamie Dunphy,Deian Salazar,Candace Avalos
13104,Steph Routh,Michael (Mike) Sands,,,,
13105,Peggy Sue Owens,Candace Avalos,Cayle Tern,Loretta Smith,Jamie Dunphy,Steph Routh
13111,Steph Routh,Michael (Mike) Sands,Noah Ernst,Joe Furi,Doug Clove,Joe Allen
13128,Timur Ender,,,,,
13129,Candace Avalos,Timur Ender,Steph Routh,,,
13132,Jamie Dunphy,Candace Avalos,Timur Ender,Steph Routh,Loretta Smith,Cayle Tern
13134,Timur Ender,Jamie Dunphy,Candace Avalos,Steph Routh,,
13135,Terrence Hayes,Noah Ernst,Candace Avalos,,,
13142,Candace Avalos,Jamie Dunphy,Steph Routh,,,
13148,Jamie Dunphy,Steph Routh,Michael (Mike) Sands,Joe Furi,David Linn,Cayle Tern
13150,Noah Ernst,Joe Allen,Steph Routh,Loretta Smith,Deian Salazar,Candace Avalos
13152,,,,,,
13153,Candace Avalos,Loretta Smith,Terrence Hayes,David Linn,Timur Ender,Jamie Dunphy
13154,Write-in-120,Candace Avalos,Timur Ender,Steph Routh,Michael (Mike) Sands,Cayle Tern
13158,Steph Routh,Michael (Mike) Sands,,,,
13159,Loretta Smith,Candace Avalos,Steph Routh,Terrence Hayes,Jamie Dunphy,Deian Salazar
13160,Timur Ender,Steph Routh,Candace Avalos,David Linn,Jamie Dunphy,Cayle Tern
13166,Loretta Smith,Timur Ender,Candace Avalos,David Linn,Terrence Hayes,Steph Routh
13189,Peggy Sue Owens,Joe Allen,Michael (Mike) Sands,Loretta Smith,Joe Furi,Doug Clove
13194,Terrence Hayes,Noah Ernst,Candace Avalos,,,
13210,Noah Ernst,Terrence Hayes,Loretta Smith,Doug Clove,Jamie Dunphy,Deian Salazar
13221,Candace Avalos,Jamie Dunphy,Timur Ender,Terrence Hayes,David Linn,Steph Routh
13223,Loretta Smith,Jamie Dunphy,Candace Avalos,,,
13226,Noah Ernst,Timur Ender,Deian Salazar,Doug Clove,Terrence Hayes,Cayle Tern
13227,Jamie Dunphy,Doug Clove,David Linn,Candace Avalos,,
13231,Candace Avalos,Steph Routh,Loretta Smith,,,
13234,Timur Ender,Steph Routh,Terrence Hayes,Candace Avalos,Loretta Smith,Deian Salazar
13237,Candace Avalos,Cayle Tern,Jamie Dunphy,Noah Ernst,,
13257,Jamie Dunphy,Candace Avalos,Terrence Hayes,Loretta Smith,Steph Routh,
13258,Noah Ernst,Thomas Shervey,Joe Furi,Loretta Smith,Doug Clove,
13263,Jamie Dunphy,Candace Avalos,Cayle Tern,Doug Clove,Terrence Hayes,Timur Ender
13264,Candace Avalos,Loretta Smith,Steph Routh,Terrence Hayes,,
13265,,,,,,
13266,Steph Routh,Timur Ender,Candace Avalos,,,
13267,Candace Avalos,Michael (Mike) Sands,Loretta Smith,Steph Routh,Jamie Dunphy,Cayle Tern
13268,Jamie Dunphy,Candace Avalos,Steph Routh,,,
13269,Loretta Smith,David Linn,Deian Salazar,Peggy Sue Owens,Timur Ender,Candace Avalos
13270,Timur Ender,Jamie Dunphy,Steph Routh,Candace Avalos,,
13271,Jamie Dunphy,Candace Avalos,Steph Routh,,,
13288,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn,Cayle Tern
13289,Loretta Smith,Deian Salazar,Steph Routh,,,
13296,Michael (Mike) Sands,David Linn,Joe Allen,,,
13297,Steph Routh,Thomas Shervey,Loretta Smith,Terrence Hayes,,
13298,Loretta Smith,,,,,
13299,Steph Routh,Loretta Smith,Jamie Dunphy,David Linn,,
13301,Peggy Sue Owens,Loretta Smith,,,,
13303,Loretta Smith,Terrence Hayes,Jamie Dunphy,Deian Salazar,Michael (Mike) Sands,Peggy Sue Owens
13305,Loretta Smith,Steph Routh,Timur Ender,Michael (Mike) Sands,Jamie Dunphy,Candace Avalos
13307,Timur Ender,Doug Clove,Loretta Smith,Thomas Shervey,Terrence Hayes,Steph Routh
13308,Loretta Smith,Terrence Hayes,,,,
13309,Loretta Smith,Steph Routh,Timur Ender,Terrence Hayes,Michael (Mike) Sands,Joe Furi
13310,Michael (Mike) Sands,Doug Clove,David Linn,Timur Ender,Cayle Tern,Loretta Smith
13317,Steph Routh,,,,,
13321,Loretta Smith,Candace Avalos,Steph Routh,Jamie Dunphy,,
13333,Joe Allen,Joe Furi,Doug Clove,Steph Routh,Cayle Tern,Peggy Sue Owens
13334,Timur Ender,Jamie Dunphy,Candace Avalos,Michael (Mike) Sands,,
13337,Timur Ender,Steph Routh,Candace Avalos,David Linn,Jamie Dunphy,Doug Clove
13360,Joe Allen,Michael (Mike) Sands,Joe Furi,Loretta Smith,Terrence Hayes,Jamie Dunphy
13382,Steph Routh,Jamie Dunphy,Michael (Mike) Sands,David Linn,Terrence Hayes,Deian Salazar
13383,Noah Ernst,Timur Ender,Cayle Tern,David Linn,Steph Routh,Terrence Hayes
13384,Loretta Smith,,,,,
13386,,,,,,
13387,Jamie Dunphy,Candace Avalos,,,,
13388,Loretta Smith,,,,,
13391,Jamie Dunphy,Timur Ender,Steph Routh,Loretta Smith,David Linn,Candace Avalos
13394,David Linn,,,,,
13395,Timur Ender,Doug Clove,Cayle Tern,Deian Salazar,Thomas Shervey,Candace Avalos
13396,Candace Avalos,Steph Routh,Timur Ender,,,
13397,Candace Avalos,Steph Routh,Loretta Smith,Timur Ender,Jamie Dunphy,Thomas Shervey
13400,Loretta Smith,Terrence Hayes,Cayle Tern,,,
13410,Michael (Mike) Sands,David Linn,Deian Salazar,,,
13417,Timur Ender,Candace Avalos,Cayle Tern,Joe Furi,Peggy Sue Owens,Loretta Smith
13421,Peggy Sue Owens,,,,,
13422,David Linn,,,,,
13424,Doug Clove,Jamie Dunphy,Steph Routh,Terrence Hayes,David Linn,Thomas Shervey
13428,Doug Clove,Steph Routh,David Linn,Candace Avalos,,
13430,Terrence Hayes,Candace Avalos,Loretta Smith,,,
13461,Write-in-120,,,,,
13462,Candace Avalos,Timur Ender,Cayle Tern,,,
13468,Loretta Smith,Timur Ender,Candace Avalos,Steph Routh,David Linn,Jamie Dunphy
13476,Candace Avalos,Timur Ender,Jamie Dunphy,Cayle Tern,Steph Routh,
13481,Jamie Dunphy,Candace Avalos,Steph Routh,,,
13482,Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,,
13511,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
13512,Noah Ernst,,,,,
13517,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Cayle Tern,David Linn
13520,Loretta Smith,David Linn,Candace Avalos,Deian Salazar,Peggy Sue Owens,Jamie Dunphy
13537,Doug Clove,Terrence Hayes,,,,
13540,Noah Ernst,Candace Avalos,Timur Ender,Deian Salazar,Steph Routh,Thomas Shervey
13556,Noah Ernst,Terrence Hayes,Deian Salazar,,,
13574,Joe Allen,Doug Clove,Steph Routh,,,
13575,Candace Avalos,Cayle Tern,Deian Salazar,Steph Routh,Peggy Sue Owens,Timur Ender
13578,Steph Routh,Jamie Dunphy,David Linn,,,
13587,Michael (Mike) Sands,Joe Allen,Jamie Dunphy,,,
13592,Loretta Smith,Timur Ender,Michael (Mike) Sands,Terrence Hayes,Steph Routh,
13593,Loretta Smith,Jamie Dunphy,Candace Avalos,Cayle Tern,Timur Ender,David Linn
13594,Steph Routh,Loretta Smith,Jamie Dunphy,Joe Furi,Timur Ender,
13595,Peggy Sue Owens,Jamie Dunphy,David Linn,Michael (Mike) Sands,Loretta Smith,Terrence Hayes
13602,Doug Clove,,,,,
13604,Thomas Shervey,Joe Furi,Joe Allen,David Linn,Noah Ernst,Candace Avalos
13605,Loretta Smith,Jamie Dunphy,Steph Routh,Terrence Hayes,Candace Avalos,Timur Ender
13607,Candace Avalos,David Linn,Noah Ernst,,,
13608,Deian Salazar,Doug Clove,Thomas Shervey,,,
13610,Terrence Hayes,Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,Noah Ernst
13611,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender,Thomas Shervey,Steph Routh
13613,Timur Ender,Steph Routh,Loretta Smith,Candace Avalos,Jamie Dunphy,Terrence Hayes
13614,Timur Ender,Candace Avalos,Loretta Smith,Terrence Hayes,Jamie Dunphy,
13616,Noah Ernst,Terrence Hayes,Loretta Smith,Joe Furi,David Linn,Doug Clove
13618,Terrence Hayes,Deian Salazar,Loretta Smith,Candace Avalos,David Linn,Doug Clove
13620,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn,Cayle Tern
13621,Loretta Smith,Terrence Hayes,Deian Salazar,,,
13622,Steph Routh,Candace Avalos,Timur Ender,Terrence Hayes,Noah Ernst,David Linn
13623,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender,Thomas Shervey,Steph Routh
13624,Steph Routh,,,,,
13625,Terrence Hayes,Loretta Smith,Candace Avalos,Peggy Sue Owens,Steph Routh,Noah Ernst
13626,Timur Ender,Candace Avalos,Noah Ernst,Michael (Mike) Sands,Loretta Smith,Jamie Dunphy
13629,Doug Clove,,,,,
13630,Doug Clove,Noah Ernst,Michael (Mike) Sands,Candace Avalos,Thomas Shervey,Jamie Dunphy
13632,Loretta Smith,Terrence Hayes,Jamie Dunphy,Joe Furi,Joe Allen,David Linn
13633,Timur Ender,Terrence Hayes,Jamie Dunphy,Loretta Smith,Cayle Tern,Candace Avalos
13634,Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,,
13636,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
13639,David Linn,Cayle Tern,Timur Ender,,,
13641,Terrence Hayes,Noah Ernst,,,,
13659,Loretta Smith,Jamie Dunphy,,,,
13716,Terrence Hayes,Jamie Dunphy,Noah Ernst,,,
13717,Candace Avalos,Timur Ender,David Linn,Cayle Tern,Jamie Dunphy,
13718,Candace Avalos,Loretta Smith,Joe Furi,,,
13719,Candace Avalos,,,,,
13720,Jamie Dunphy,Timur Ender,Terrence Hayes,Candace Avalos,Steph Routh,Cayle Tern
13724,Candace Avalos,Cayle Tern,Steph Routh,Timur Ender,,
13725,Candace Avalos,Steph Routh,Jamie Dunphy,Michael (Mike) Sands,Timur Ender,David Linn
13726,Jamie Dunphy,Deian Salazar,Candace Avalos,Cayle Tern,Michael (Mike) Sands,Steph Routh
13731,Doug Clove,Noah Ernst,Joe Furi,,,
13736,Jamie Dunphy,Candace Avalos,Steph Routh,Timur Ender,David Linn,Loretta Smith
13737,David Linn,Doug Clove,Noah Ernst,Joe Allen,Michael (Mike) Sands,Loretta Smith
13738,Noah Ernst,Terrence Hayes,Candace Avalos,Michael (Mike) Sands,Joe Furi,Cayle Tern
13743,Timur Ender,,,,,
13744,Timur Ender,,,,,
13747,Steph Routh,Jamie Dunphy,David Linn,,,
13749,Noah Ernst,Terrence Hayes,Loretta Smith,,,
13751,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,,
13752,Joe Furi,Cayle Tern,,,,
13753,Noah Ernst,Candace Avalos,Cayle Tern,Deian Salazar,Steph Routh,Loretta Smith
13755,,,,,,
13767,Michael (Mike) Sands,Timur Ender,Cayle Tern,David Linn,Candace Avalos,Terrence Hayes
13804,Candace Avalos,,,,,
13816,Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,Loretta Smith,Joe Allen
13823,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
13884,Candace Avalos,,,,,
13887,Deian Salazar,Candace Avalos,,,,
13888,Candace Avalos,Timur Ender,Michael (Mike) Sands,Cayle Tern,Loretta Smith,Terrence Hayes
13890,Loretta Smith,,,,,
13892,Jamie Dunphy,Loretta Smith,Michael (Mike) Sands,Peggy Sue Owens,Joe Allen,Noah Ernst
13894,Noah Ernst,Terrence Hayes,Loretta Smith,David Linn,Doug Clove,Deian Salazar
13896,Loretta Smith,,,,,
13901,Timur Ender,Noah Ernst,Doug Clove,Terrence Hayes,David Linn,Jamie Dunphy
13902,Steph Routh,Deian Salazar,,,,
13936,Loretta Smith,,,,,
13951,Candace Avalos,,,,,
13953,Loretta Smith,Peggy Sue Owens,Candace Avalos,Terrence Hayes,Noah Ernst,Deian Salazar
13954,,,,,,
13955,Jamie Dunphy,Doug Clove,Timur Ender,Noah Ernst,Michael (Mike) Sands,Loretta Smith
13956,,,,,,
13962,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Noah Ernst,Loretta Smith
13974,Timur Ender,Jamie Dunphy,Steph Routh,Candace Avalos,,
13977,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,,
13978,Candace Avalos,Timur Ender,Terrence Hayes,,,
13979,Candace Avalos,Timur Ender,Steph Routh,Thomas Shervey,Cayle Tern,David Linn
13982,Loretta Smith,Steph Routh,,,,
13987,Candace Avalos,Jamie Dunphy,Steph Routh,Loretta Smith,Timur Ender,David Linn
13990,Michael (Mike) Sands,,,,,
13991,Noah Ernst,Timur Ender,,,,
13992,Loretta Smith,,,,,
13994,Timur Ender,Noah Ernst,Joe Allen,Doug Clove,Thomas Shervey,Jamie Dunphy
13995,David Linn,Thomas Shervey,Joe Furi,,,
13996,Terrence Hayes,Loretta Smith,Joe Allen,,,
13998,Timur Ender,Noah Ernst,Deian Salazar,Terrence Hayes,Steph Routh,Jamie Dunphy
13999,Timur Ender,Steph Routh,Loretta Smith,,,
14001,Noah Ernst,David Linn,Peggy Sue Owens,,,
14019,Terrence Hayes,Noah Ernst,Steph Routh,,,
14021,Noah Ernst,Terrence Hayes,Doug Clove,Loretta Smith,,
14028,Terrence Hayes,Steph Routh,Peggy Sue Owens,Candace Avalos,Noah Ernst,David Linn
14030,Deian Salazar,Michael (Mike) Sands,David Linn,Timur Ender,Joe Furi,Candace Avalos
14032,David Linn,Joe Allen,Michael (Mike) Sands,Loretta Smith,Peggy Sue Owens,Doug Clove
14034,Steph Routh,Joe Allen,Jamie Dunphy,Joe Furi,Doug Clove,Peggy Sue Owens
14035,Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,Loretta Smith,Peggy Sue Owens
14038,Timur Ender,Steph Routh,Candace Avalos,Loretta Smith,Noah Ernst,Cayle Tern
14041,Loretta Smith,,,,,
14044,Candace Avalos,Cayle Tern,Noah Ernst,,,
14045,Deian Salazar,Steph Routh,Terrence Hayes,,,
14046,Candace Avalos,Cayle Tern,Steph Routh,Timur Ender,,
14048,Noah Ernst,Terrence Hayes,Doug Clove,Loretta Smith,,
14049,Terrence Hayes,,,,,
14050,Timur Ender,Noah Ernst,Joe Allen,,,
14052,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Loretta Smith,Noah Ernst
14070,Doug Clove,Thomas Shervey,Joe Furi,Candace Avalos,Loretta Smith,Joe Allen
14081,Jamie Dunphy,Thomas Shervey,Joe Allen,Noah Ernst,Doug Clove,Terrence Hayes
14083,Noah Ernst,Loretta Smith,Terrence Hayes,David Linn,,
14086,Steph Routh,Doug Clove,Joe Allen,David Linn,,
14090,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
14121,Candace Avalos,Loretta Smith,Steph Routh,Cayle Tern,Peggy Sue Owens,Timur Ender
14129,Jamie Dunphy,Noah Ernst,Steph Routh,,,
14141,Joe Allen,David Linn,Thomas Shervey,Jamie Dunphy,Joe Furi,Michael (Mike) Sands
14146,Cayle Tern,Candace Avalos,Steph Routh,Timur Ender,,
14154,Jamie Dunphy,Candace Avalos,,,,
14171,Timur Ender,Loretta Smith,,,,
14175,Loretta Smith,,,,,
14179,Michael (Mike) Sands,,,,,
14183,Loretta Smith,Timur Ender,Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy
14184,Noah Ernst,,,,,
14185,Loretta Smith,Timur Ender,Terrence Hayes,Steph Routh,Candace Avalos,Cayle Tern
14194,David Linn,Joe Allen,Michael (Mike) Sands,Loretta Smith,Peggy Sue Owens,
14195,Jamie Dunphy,Loretta Smith,Noah Ernst,,,
14197,Steph Routh,Loretta Smith,Deian Salazar,Timur Ender,Noah Ernst,Cayle Tern
14202,Noah Ernst,Terrence Hayes,Loretta Smith,,,
14204,,,,,,
14207,Jamie Dunphy,,,,,
14226,Loretta Smith,Cayle Tern,Noah Ernst,Terrence Hayes,Write-in-121,
14246,,,,,,
14247,Steph Routh,Loretta Smith,Candace Avalos,Timur Ender,Michael (Mike) Sands,Thomas Shervey
14250,Terrence Hayes,Steph Routh,Jamie Dunphy,Thomas Shervey,Doug Clove,David Linn
14251,Doug Clove,Joe Allen,Peggy Sue Owens,Jamie Dunphy,Deian Salazar,Thomas Shervey
14254,Loretta Smith,,,,,
14255,Steph Routh,Candace Avalos,Jamie Dunphy,,,
14256,Noah Ernst,Thomas Shervey,Joe Furi,Loretta Smith,Doug Clove,
14257,Loretta Smith,Terrence Hayes,Steph Routh,Doug Clove,Timur Ender,Candace Avalos
14260,Candace Avalos,,,,,
14266,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
14291,Doug Clove,Deian Salazar,Joe Allen,David Linn,Michael (Mike) Sands,Joe Furi
14292,Doug Clove,Jamie Dunphy,Noah Ernst,David Linn,Joe Furi,Timur Ender
14296,Steph Routh,Candace Avalos,Cayle Tern,Terrence Hayes,Loretta Smith,
14320,Candace Avalos,Doug Clove,,,,
14323,Joe Allen,Joe Furi,Thomas Shervey,,,
14325,Jamie Dunphy,Loretta Smith,Steph Routh,,,
14356,Jamie Dunphy,Candace Avalos,Steph Routh,,,
14358,Timur Ender,Cayle Tern,Deian Salazar,Loretta Smith,Candace Avalos,Steph Routh
14368,Loretta Smith,Timur Ender,Steph Routh,Cayle Tern,Deian Salazar,Terrence Hayes
14376,Loretta Smith,Terrence Hayes,Steph Routh,Thomas Shervey,Candace Avalos,Peggy Sue Owens
14378,Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,,
14395,Candace Avalos,David Linn,Jamie Dunphy,,,
14431,Jamie Dunphy,Thomas Shervey,Doug Clove,Candace Avalos,,
14440,Joe Allen,Joe Furi,Loretta Smith,,,
14442,Terrence Hayes,,,,,
14445,Noah Ernst,Terrence Hayes,Jamie Dunphy,,,
14449,Timur Ender,Noah Ernst,Candace Avalos,Doug Clove,Loretta Smith,
14450,Noah Ernst,Timur Ender,Joe Allen,Cayle Tern,Doug Clove,Loretta Smith
14451,Michael (Mike) Sands,Loretta Smith,Doug Clove,,,
14452,Jamie Dunphy,,,,,
14453,Jamie Dunphy,Steph Routh,Loretta Smith,Candace Avalos,Timur Ender,Deian Salazar
14454,Loretta Smith,,,,,
14455,Cayle Tern,Noah Ernst,Doug Clove,Loretta Smith,Terrence Hayes,Deian Salazar
14456,Noah Ernst,,,,,
14469,Terrence Hayes,Noah Ernst,Candace Avalos,,,
14470,Terrence Hayes,Noah Ernst,Candace Avalos,,,
14488,Doug Clove,Peggy Sue Owens,Joe Allen,David Linn,Loretta Smith,Jamie Dunphy
14498,Loretta Smith,Peggy Sue Owens,David Linn,Michael (Mike) Sands,Joe Allen,Jamie Dunphy
14500,Loretta Smith,Timur Ender,Michael (Mike) Sands,Terrence Hayes,Steph Routh,
14501,Michael (Mike) Sands,Thomas Shervey,Steph Routh,Jamie Dunphy,Candace Avalos,
14525,Loretta Smith,,,,,
14532,Noah Ernst,Joe Allen,David Linn,Doug Clove,Joe Furi,Thomas Shervey
14542,Noah Ernst,Steph Routh,Jamie Dunphy,Loretta Smith,Terrence Hayes,Doug Clove
14544,Timur Ender,Loretta Smith,,,,
14548,David Linn,Peggy Sue Owens,Terrence Hayes,,,
14563,Noah Ernst,Timur Ender,Joe Allen,Doug Clove,Deian Salazar,Joe Furi
14566,David Linn,Jamie Dunphy,Candace Avalos,Loretta Smith,,
14567,Loretta Smith,David Linn,Steph Routh,,,
14568,Steph Routh,Timur Ender,Michael (Mike) Sands,Cayle Tern,Jamie Dunphy,
14572,Michael (Mike) Sands,Noah Ernst,Joe Furi,Deian Salazar,Candace Avalos,Doug Clove
14574,David Linn,Steph Routh,Candace Avalos,Noah Ernst,Doug Clove,Jamie Dunphy
14575,Candace Avalos,Loretta Smith,Steph Routh,Terrence Hayes,Jamie Dunphy,David Linn
14612,Noah Ernst,Deian Salazar,Cayle Tern,Thomas Shervey,Joe Furi,Jamie Dunphy
14614,Peggy Sue Owens,Michael (Mike) Sands,Loretta Smith,Terrence Hayes,Steph Routh,Cayle Tern
14663,Doug Clove,,,,,
14687,Loretta Smith,,,,,
14689,Michael (Mike) Sands,Steph Routh,Terrence Hayes,Loretta Smith,Candace Avalos,Timur Ender
14713,Loretta Smith,Terrence Hayes,Jamie Dunphy,,,
14719,Steph Routh,,,,,
14733,Steph Routh,Timur Ender,Loretta Smith,David Linn,Terrence Hayes,Jamie Dunphy
14736,Jamie Dunphy,,,,,
14738,Candace Avalos,Doug Clove,Timur Ender,Peggy Sue Owens,Deian Salazar,Thomas Shervey
14741,Doug Clove,,,,,
14743,Candace Avalos,Cayle Tern,Steph Routh,Terrence Hayes,Jamie Dunphy,Timur Ender
14754,Noah Ernst,,,,,
14756,Peggy Sue Owens,,,,,
14757,Joe Allen,,,,,
14759,Joe Allen,Thomas Shervey,,,,
14760,,,,,,
14792,Candace Avalos,Jamie Dunphy,Loretta Smith,Cayle Tern,Steph Routh,Timur Ender
14793,Loretta Smith,Terrence Hayes,Noah Ernst,Doug Clove,Steph Routh,Deian Salazar
14794,Doug Clove,Noah Ernst,David Linn,Timur Ender,,
14801,Noah Ernst,Terrence Hayes,Loretta Smith,,,
14803,Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
14811,Noah Ernst,Peggy Sue Owens,Cayle Tern,,,
14813,Noah Ernst,Peggy Sue Owens,Cayle Tern,,,
14815,Michael (Mike) Sands,,,,,
14883,Thomas Shervey,,,,,
14905,Terrence Hayes,Timur Ender,Candace Avalos,Steph Routh,,
14911,Noah Ernst,,,,,
14913,,,,,,
14915,Loretta Smith,,,,,
14917,Peggy Sue Owens,Loretta Smith,Terrence Hayes,Doug Clove,Jamie Dunphy,David Linn
14918,Thomas Shervey,,,,,
14919,Jamie Dunphy,Candace Avalos,Steph Routh,,,
14922,Noah Ernst,Steph Routh,Timur Ender,Candace Avalos,Doug Clove,Thomas Shervey
14927,Noah Ernst,Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,
14929,Noah Ernst,Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,
14963,Jamie Dunphy,Steph Routh,Candace Avalos,,,
14967,Jamie Dunphy,Timur Ender,Joe Allen,Deian Salazar,Terrence Hayes,Loretta Smith
14968,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Terrence Hayes,Loretta Smith
14975,Steph Routh,Terrence Hayes,Jamie Dunphy,David Linn,Loretta Smith,Timur Ender
14976,Doug Clove,Terrence Hayes,Thomas Shervey,Jamie Dunphy,Michael (Mike) Sands,Joe Furi
14979,David Linn,,,,,
15000,Terrence Hayes,Noah Ernst,Candace Avalos,Loretta Smith,Steph Routh,Peggy Sue Owens
15007,Steph Routh,Timur Ender,Jamie Dunphy,Loretta Smith,Michael (Mike) Sands,Candace Avalos
15010,Terrence Hayes,Noah Ernst,Doug Clove,,,
15011,Timur Ender,Steph Routh,Michael (Mike) Sands,Candace Avalos,Loretta Smith,David Linn
15026,Peggy Sue Owens,Loretta Smith,Candace Avalos,Jamie Dunphy,Steph Routh,Cayle Tern
15027,Noah Ernst,,,,,
15030,Timur Ender,Jamie Dunphy,Loretta Smith,,,
15040,Steph Routh,Noah Ernst,Loretta Smith,Timur Ender,David Linn,Candace Avalos
15041,Joe Furi,Doug Clove,David Linn,Joe Allen,Candace Avalos,Terrence Hayes
15049,Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,,
15055,Thomas Shervey,Noah Ernst,David Linn,Michael (Mike) Sands,Jamie Dunphy,Loretta Smith
15056,Doug Clove,Terrence Hayes,Thomas Shervey,Steph Routh,Michael (Mike) Sands,Joe Furi
15081,Noah Ernst,,,,,
15082,Terrence Hayes,Noah Ernst,Candace Avalos,Timur Ender,Jamie Dunphy,David Linn
15110,Steph Routh,Jamie Dunphy,,,,
15114,Noah Ernst,Deian Salazar,,,,
15116,Thomas Shervey,Michael (Mike) Sands,Joe Allen,,,
15117,Loretta Smith,Jamie Dunphy,Doug Clove,Michael (Mike) Sands,Terrence Hayes,Steph Routh
15118,Loretta Smith,Steph Routh,Timur Ender,,,
15119,Jamie Dunphy,Steph Routh,Candace Avalos,Terrence Hayes,Noah Ernst,
15120,Deian Salazar,,,,,
15123,,,,,,
15124,Deian Salazar,,,,,
15125,Jamie Dunphy,,,,,
15129,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,,
15131,Doug Clove,David Linn,Joe Allen,,,
15132,Timur Ender,David Linn,Doug Clove,Steph Routh,Loretta Smith,Candace Avalos
15140,Timur Ender,Steph Routh,Jamie Dunphy,,,
15141,Terrence Hayes,Loretta Smith,Jamie Dunphy,Doug Clove,Noah Ernst,David Linn
15157,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
15160,Jamie Dunphy,Cayle Tern,David Linn,Candace Avalos,Timur Ender,Steph Routh
15161,Candace Avalos,Cayle Tern,Terrence Hayes,Steph Routh,,
15162,Jamie Dunphy,David Linn,Steph Routh,,,
15163,Noah Ernst,Terrence Hayes,,,,
15183,Noah Ernst,Joe Furi,Deian Salazar,,,
15189,Loretta Smith,Terrence Hayes,David Linn,,,
15191,Loretta Smith,Michael (Mike) Sands,Joe Allen,,,
15193,Loretta Smith,Terrence Hayes,Steph Routh,Doug Clove,Timur Ender,Candace Avalos
15194,Timur Ender,,,,,
15198,Noah Ernst,Steph Routh,David Linn,Terrence Hayes,,
15199,Terrence Hayes,Candace Avalos,Joe Allen,David Linn,Cayle Tern,Doug Clove
15206,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
15207,Michael (Mike) Sands,Jamie Dunphy,Joe Allen,,,
15212,Loretta Smith,Peggy Sue Owens,Candace Avalos,,,
15213,Deian Salazar,,,,,
15232,Candace Avalos,,,,,
15252,Candace Avalos,Timur Ender,Cayle Tern,Steph Routh,Jamie Dunphy,David Linn
15277,Loretta Smith,Jamie Dunphy,,,,
15278,Noah Ernst,,,,,
15279,Jamie Dunphy,Candace Avalos,Steph Routh,,,
15302,Loretta Smith,,,,,
15327,Jamie Dunphy,Candace Avalos,Steph Routh,,,
15329,Candace Avalos,Terrence Hayes,Noah Ernst,Loretta Smith,,
15333,Thomas Shervey,Noah Ernst,,,,
15334,Loretta Smith,,,,,
