Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
Jamie Dunphy,Steph Routh,Candace Avalos,Noah Ernst,,
Loretta Smith,Deian Salazar,Candace Avalos,Noah Ernst,Joe Allen,Steph Routh
Loretta Smith,Candace Avalos,Peggy Sue Owens,Cayle Tern,Write-in-120,Michael (Mike) Sands
Loretta Smith,Terrence Hayes,Noah Ernst,Timur Ender,Candace Avalos,Deian Salazar
Loretta Smith,Terrence Hayes,,,,
Deian Salazar,Candace Avalos,Loretta Smith,Cayle Tern,David Linn,Terrence Hayes
Candace Avalos,,,,,
Candace Avalos,,,,,
David Linn,Thomas Shervey,Candace Avalos,Jamie Dunphy,Timur Ender,Cayle Tern
Steph Routh,Candace Avalos,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender
Candace Avalos,Doug Clove,Thomas Shervey,Jamie Dunphy,Joe Allen,David Linn
Doug Clove,,,,,
Deian Salazar,,,,,
Write-in-120,Write-in-121,Write-in-122,Candace Avalos,Steph Routh,Timur Ender
Timur Ender,Jamie Dunphy,Candace Avalos,Cayle Tern,Steph Routh,
Terrence Hayes,Steph Routh,David Linn,Noah Ernst,Candace Avalos,Deian Salazar
Peggy Sue Owens,Loretta Smith,,,,
Candace Avalos,,,,,
Loretta Smith,Thomas Shervey,Terrence Hayes,Doug Clove,David Linn,Timur Ender
Thomas Shervey,Candace Avalos,Cayle Tern,Terrence Hayes,,
Doug Clove,Steph Routh,,,,
Joe Allen,Peggy Sue Owens,Joe Furi,Thomas Shervey,Jamie Dunphy,David Linn
Loretta Smith,,,,,
Jamie Dunphy,Steph Routh,Timur Ender,,,
Candace Avalos,Noah Ernst,Terrence Hayes,,,
Noah Ernst,David Linn,Cayle Tern,Doug Clove,Michael (Mike) Sands,Steph Routh
Terrence Hayes,Candace Avalos,David Linn,Timur Ender,,
Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Cayle Tern,Terrence Hayes
Loretta Smith,Michael (Mike) Sands,Timur Ender,Steph Routh,Jamie Dunphy,Noah Ernst
Loretta Smith,Terrence Hayes,Steph Routh,,,
Terrence Hayes,Jamie Dunphy,Deian Salazar,Timur Ender,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,David Linn,Cayle Tern
David Linn,Loretta Smith,Peggy Sue Owens,Noah Ernst,Michael (Mike) Sands,Steph Routh
Candace Avalos,Cayle Tern,Timur Ender,,,
Timur Ender,Noah Ernst,Jamie Dunphy,Steph Routh,Candace Avalos,
Steph Routh,Timur Ender,Cayle Tern,Candace Avalos,,
Jamie Dunphy,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Michael (Mike) Sands,Candace Avalos,David Linn,,,
Terrence Hayes,Noah Ernst,Loretta Smith,Doug Clove,Deian Salazar,
Candace Avalos,Timur Ender,Jamie Dunphy,Cayle Tern,Steph Routh,David Linn
Terrence Hayes,Joe Furi,Joe Allen,Peggy Sue Owens,Michael (Mike) Sands,Doug Clove
Terrence Hayes,Noah Ernst,Doug Clove,,,
Candace Avalos,Steph Routh,Jamie Dunphy,David Linn,Loretta Smith,Terrence Hayes
Steph Routh,Loretta Smith,Timur Ender,Candace Avalos,David Linn,Jamie Dunphy
Steph Routh,Joe Allen,David Linn,Peggy Sue Owens,,
Steph Routh,Jamie Dunphy,,,,
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,Cayle Tern,
Michael (Mike) Sands,David Linn,Loretta Smith,Deian Salazar,Peggy Sue Owens,Terrence Hayes
Candace Avalos,,,,,
Timur Ender,Candace Avalos,Deian Salazar,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Write-in-122,Write-in-121,Write-in-120,,,
David Linn,Noah Ernst,Joe Furi,Loretta Smith,Jamie Dunphy,Doug Clove
Jamie Dunphy,,,,,
Michael (Mike) Sands,David Linn,,,,
Terrence Hayes,Noah Ernst,David Linn,Loretta Smith,Steph Routh,Timur Ender
Steph Routh,Terrence Hayes,Loretta Smith,Candace Avalos,,
Terrence Hayes,Timur Ender,Jamie Dunphy,Candace Avalos,Michael (Mike) Sands,David Linn
Terrence Hayes,David Linn,Deian Salazar,Michael (Mike) Sands,Doug Clove,Joe Allen
Peggy Sue Owens,Noah Ernst,Joe Allen,Doug Clove,Michael (Mike) Sands,Thomas Shervey
Doug Clove,Loretta Smith,Terrence Hayes,Steph Routh,David Linn,Candace Avalos
Noah Ernst,Joe Allen,David Linn,,,
Steph Routh,,,,,
Terrence Hayes,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,David Linn
Jamie Dunphy,Terrence Hayes,Candace Avalos,Loretta Smith,,
Jamie Dunphy,Candace Avalos,Steph Routh,Loretta Smith,Timur Ender,Terrence Hayes
Joe Furi,,,,,
Timur Ender,Terrence Hayes,Loretta Smith,,,
David Linn,,,,,
Candace Avalos,Timur Ender,Cayle Tern,,,
Steph Routh,,,,,
Loretta Smith,Terrence Hayes,Deian Salazar,David Linn,Candace Avalos,Cayle Tern
Timur Ender,Steph Routh,Candace Avalos,Cayle Tern,Jamie Dunphy,Michael (Mike) Sands
Candace Avalos,Loretta Smith,Timur Ender,Steph Routh,,
Terrence Hayes,Doug Clove,Joe Furi,Joe Allen,Thomas Shervey,Steph Routh
Steph Routh,Candace Avalos,Timur Ender,Loretta Smith,Jamie Dunphy,Terrence Hayes
Candace Avalos,Steph Routh,Jamie Dunphy,Cayle Tern,,
Doug Clove,Michael (Mike) Sands,Terrence Hayes,Deian Salazar,Noah Ernst,Candace Avalos
Noah Ernst,Timur Ender,Joe Furi,,,
Candace Avalos,,,,,
Peggy Sue Owens,,,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Jamie Dunphy,Steph Routh,Timur Ender,,,
Timur Ender,Candace Avalos,David Linn,Cayle Tern,Joe Furi,Deian Salazar
Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
Candace Avalos,Steph Routh,Timur Ender,Loretta Smith,Jamie Dunphy,Deian Salazar
Jamie Dunphy,Steph Routh,Timur Ender,,,
Jamie Dunphy,Steph Routh,Timur Ender,Doug Clove,Joe Furi,
Candace Avalos,,,,,
Loretta Smith,Candace Avalos,Terrence Hayes,Jamie Dunphy,Steph Routh,Deian Salazar
Timur Ender,Steph Routh,Jamie Dunphy,Terrence Hayes,Candace Avalos,
Loretta Smith,Thomas Shervey,Candace Avalos,,,
Candace Avalos,Michael (Mike) Sands,Steph Routh,Jamie Dunphy,Thomas Shervey,
Loretta Smith,Terrence Hayes,Noah Ernst,David Linn,,
Loretta Smith,Timur Ender,Noah Ernst,Candace Avalos,David Linn,Cayle Tern
Timur Ender,Terrence Hayes,Loretta Smith,Candace Avalos,Cayle Tern,Deian Salazar
Noah Ernst,Candace Avalos,David Linn,Cayle Tern,Terrence Hayes,Loretta Smith
Michael (Mike) Sands,Joe Allen,Loretta Smith,Noah Ernst,Jamie Dunphy,Doug Clove
Peggy Sue Owens,David Linn,,,,
Michael (Mike) Sands,Loretta Smith,Candace Avalos,Peggy Sue Owens,Joe Allen,Thomas Shervey
Loretta Smith,,,,,
Steph Routh,Terrence Hayes,Candace Avalos,Loretta Smith,,
Timur Ender,Loretta Smith,Steph Routh,Candace Avalos,Terrence Hayes,Jamie Dunphy
Loretta Smith,Terrence Hayes,Timur Ender,,,
Deian Salazar,Cayle Tern,Candace Avalos,Peggy Sue Owens,Timur Ender,Steph Routh
Michael (Mike) Sands,Noah Ernst,Jamie Dunphy,,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Noah Ernst,,,,,
Joe Furi,Joe Allen,Michael (Mike) Sands,Noah Ernst,David Linn,Thomas Shervey
Joe Allen,Cayle Tern,Candace Avalos,Michael (Mike) Sands,Doug Clove,Steph Routh
Candace Avalos,Jamie Dunphy,Terrence Hayes,Michael (Mike) Sands,Joe Allen,Timur Ender
Noah Ernst,,,,,
Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,Jamie Dunphy,Michael (Mike) Sands
Loretta Smith,Timur Ender,Doug Clove,Michael (Mike) Sands,,
Michael (Mike) Sands,,,,,
Timur Ender,Candace Avalos,Jamie Dunphy,Steph Routh,Joe Allen,
Candace Avalos,Terrence Hayes,Thomas Shervey,Timur Ender,Noah Ernst,David Linn
Timur Ender,Michael (Mike) Sands,Candace Avalos,,,
Candace Avalos,Loretta Smith,,,,
Timur Ender,Noah Ernst,Candace Avalos,Terrence Hayes,Loretta Smith,
Joe Allen,Steph Routh,Thomas Shervey,Peggy Sue Owens,,
Noah Ernst,Doug Clove,Jamie Dunphy,,,
Terrence Hayes,Loretta Smith,Noah Ernst,,,
Timur Ender,Candace Avalos,Jamie Dunphy,Steph Routh,,
Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,Terrence Hayes,Loretta Smith
Candace Avalos,Terrence Hayes,Thomas Shervey,Jamie Dunphy,Steph Routh,Doug Clove
Jamie Dunphy,Thomas Shervey,Steph Routh,Noah Ernst,Michael (Mike) Sands,Doug Clove
Doug Clove,Terrence Hayes,,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Steph Routh,Terrence Hayes,Timur Ender,Candace Avalos,,
Steph Routh,Timur Ender,Jamie Dunphy,Candace Avalos,David Linn,Noah Ernst
Terrence Hayes,Loretta Smith,Noah Ernst,,,
Loretta Smith,Candace Avalos,Timur Ender,Steph Routh,Terrence Hayes,
Candace Avalos,Terrence Hayes,Loretta Smith,David Linn,Timur Ender,Deian Salazar
Terrence Hayes,Noah Ernst,Steph Routh,Candace Avalos,,
Doug Clove,,,,,
Loretta Smith,Steph Routh,,,,
Loretta Smith,David Linn,Terrence Hayes,Joe Allen,Peggy Sue Owens,Joe Furi
Doug Clove,,,,,
Loretta Smith,,,,,
Doug Clove,Terrence Hayes,Jamie Dunphy,Steph Routh,Deian Salazar,Joe Allen
,,,,,
Loretta Smith,Terrence Hayes,Peggy Sue Owens,Candace Avalos,Joe Allen,
Candace Avalos,Steph Routh,,,,
Steph Routh,Jamie Dunphy,Timur Ender,,,
Deian Salazar,Loretta Smith,Timur Ender,Thomas Shervey,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Timur Ender,Steph Routh,Jamie Dunphy,Terrence Hayes,Candace Avalos,
Terrence Hayes,Noah Ernst,Doug Clove,Timur Ender,Joe Allen,David Linn
Terrence Hayes,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Deian Salazar
Loretta Smith,Candace Avalos,Terrence Hayes,Jamie Dunphy,David Linn,Cayle Tern
Doug Clove,Noah Ernst,Joe Allen,,,
Deian Salazar,Terrence Hayes,Joe Allen,Noah Ernst,Timur Ender,Candace Avalos
Steph Routh,Terrence Hayes,Candace Avalos,Jamie Dunphy,Noah Ernst,Timur Ender
Candace Avalos,Loretta Smith,Cayle Tern,,,
Peggy Sue Owens,Timur Ender,Candace Avalos,Loretta Smith,Thomas Shervey,Jamie Dunphy
Timur Ender,Steph Routh,Candace Avalos,,,
Candace Avalos,Noah Ernst,Timur Ender,Cayle Tern,Loretta Smith,Steph Routh
David Linn,Steph Routh,Candace Avalos,Jamie Dunphy,Noah Ernst,
Loretta Smith,,,,,
Jamie Dunphy,,,,,
Peggy Sue Owens,Candace Avalos,Joe Allen,Jamie Dunphy,Cayle Tern,Steph Routh
Loretta Smith,Timur Ender,Steph Routh,Terrence Hayes,Jamie Dunphy,
Noah Ernst,Deian Salazar,Steph Routh,,,
Candace Avalos,Steph Routh,Timur Ender,Write-in-122,Write-in-121,Write-in-120
Peggy Sue Owens,Noah Ernst,Loretta Smith,Joe Furi,Joe Allen,Cayle Tern
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Jamie Dunphy,Candace Avalos,David Linn,Steph Routh,Timur Ender,Cayle Tern
Terrence Hayes,Loretta Smith,Candace Avalos,,,
Loretta Smith,Candace Avalos,David Linn,Steph Routh,Timur Ender,Jamie Dunphy
Loretta Smith,Noah Ernst,Joe Allen,,,
,,,,,
Noah Ernst,Terrence Hayes,Deian Salazar,,,
Candace Avalos,Cayle Tern,Peggy Sue Owens,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Terrence Hayes,Loretta Smith,,,,
Timur Ender,Noah Ernst,Jamie Dunphy,David Linn,Cayle Tern,Michael (Mike) Sands
Terrence Hayes,Timur Ender,Noah Ernst,Loretta Smith,Candace Avalos,
Timur Ender,David Linn,Terrence Hayes,Doug Clove,Jamie Dunphy,Michael (Mike) Sands
Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,,
Loretta Smith,Terrence Hayes,Candace Avalos,,,
Timur Ender,Jamie Dunphy,Candace Avalos,Steph Routh,,
Loretta Smith,Jamie Dunphy,Candace Avalos,,,
Candace Avalos,Steph Routh,Jamie Dunphy,,,
Steph Routh,Candace Avalos,Loretta Smith,Jamie Dunphy,Timur Ender,Terrence Hayes
Loretta Smith,Terrence Hayes,Jamie Dunphy,Deian Salazar,Cayle Tern,Candace Avalos
Jamie Dunphy,Steph Routh,Loretta Smith,Noah Ernst,,
Loretta Smith,Joe Allen,Noah Ernst,Terrence Hayes,Cayle Tern,Peggy Sue Owens
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,David Linn,Terrence Hayes
Jamie Dunphy,Loretta Smith,Terrence Hayes,Steph Routh,Doug Clove,Deian Salazar
Candace Avalos,Steph Routh,Cayle Tern,David Linn,,
Michael (Mike) Sands,Candace Avalos,Steph Routh,Timur Ender,Cayle Tern,Thomas Shervey
Timur Ender,Candace Avalos,Loretta Smith,Jamie Dunphy,Steph Routh,
Candace Avalos,Deian Salazar,Loretta Smith,Peggy Sue Owens,Steph Routh,Michael (Mike) Sands
Jamie Dunphy,Candace Avalos,Loretta Smith,,,
Loretta Smith,,,,,
Michael (Mike) Sands,,,,,
Timur Ender,Candace Avalos,Joe Furi,David Linn,Cayle Tern,Loretta Smith
Timur Ender,Cayle Tern,David Linn,Steph Routh,,
Timur Ender,Terrence Hayes,Steph Routh,Candace Avalos,Loretta Smith,Cayle Tern
David Linn,Thomas Shervey,Doug Clove,,,
Peggy Sue Owens,,,,,
Jamie Dunphy,Steph Routh,,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Deian Salazar,Joe Furi,Noah Ernst,,,
Jamie Dunphy,Terrence Hayes,Candace Avalos,Timur Ender,David Linn,
Loretta Smith,Terrence Hayes,Jamie Dunphy,,,
Loretta Smith,Terrence Hayes,,,,
Noah Ernst,Doug Clove,David Linn,Joe Furi,Thomas Shervey,
Timur Ender,,,,,
Noah Ernst,Joe Allen,Peggy Sue Owens,Michael (Mike) Sands,Thomas Shervey,Steph Routh
Noah Ernst,Joe Allen,Joe Furi,Deian Salazar,Terrence Hayes,
Steph Routh,Candace Avalos,Noah Ernst,Jamie Dunphy,,
Timur Ender,Terrence Hayes,Noah Ernst,Steph Routh,Doug Clove,David Linn
Loretta Smith,Peggy Sue Owens,Noah Ernst,Cayle Tern,Candace Avalos,Joe Furi
Loretta Smith,Candace Avalos,Peggy Sue Owens,Thomas Shervey,Steph Routh,Jamie Dunphy
Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,,
Candace Avalos,Joe Furi,Jamie Dunphy,Terrence Hayes,Loretta Smith,Noah Ernst
Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,Loretta Smith,
Jamie Dunphy,Steph Routh,Timur Ender,Loretta Smith,David Linn,
Loretta Smith,,,,,
Steph Routh,Jamie Dunphy,Terrence Hayes,Loretta Smith,Noah Ernst,Candace Avalos
Noah Ernst,,,,,
Noah Ernst,,,,,
Steph Routh,Timur Ender,Jamie Dunphy,Michael (Mike) Sands,Loretta Smith,Candace Avalos
David Linn,Terrence Hayes,Noah Ernst,Doug Clove,Joe Allen,Loretta Smith
Steph Routh,Candace Avalos,Jamie Dunphy,Loretta Smith,David Linn,
Candace Avalos,Steph Routh,Jamie Dunphy,,,
Terrence Hayes,Loretta Smith,,,,
Doug Clove,Candace Avalos,,,,
Jamie Dunphy,Candace Avalos,,,,
Loretta Smith,,,,,
Candace Avalos,Steph Routh,Timur Ender,,,
,,,,,
Loretta Smith,Steph Routh,,,,
Jamie Dunphy,David Linn,Thomas Shervey,Peggy Sue Owens,Timur Ender,Noah Ernst
,,,,,
Noah Ernst,Loretta Smith,Doug Clove,,,
Jamie Dunphy,Noah Ernst,Candace Avalos,Steph Routh,,
Cayle Tern,Loretta Smith,Doug Clove,Deian Salazar,Terrence Hayes,
Loretta Smith,Steph Routh,Candace Avalos,Deian Salazar,Cayle Tern,Timur Ender
Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,David Linn,Cayle Tern
Noah Ernst,Joe Allen,Doug Clove,Terrence Hayes,,
Candace Avalos,Terrence Hayes,Michael (Mike) Sands,Steph Routh,Jamie Dunphy,Timur Ender
Steph Routh,Candace Avalos,Timur Ender,David Linn,Cayle Tern,
Doug Clove,Thomas Shervey,,,,
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,,
Terrence Hayes,Noah Ernst,Candace Avalos,,,
Candace Avalos,Steph Routh,Jamie Dunphy,Noah Ernst,David Linn,Loretta Smith
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
,,,,,
Noah Ernst,Steph Routh,Peggy Sue Owens,,,
Candace Avalos,David Linn,,,,
Jamie Dunphy,Candace Avalos,Timur Ender,Terrence Hayes,Loretta Smith,Steph Routh
Terrence Hayes,,,,,
Thomas Shervey,Jamie Dunphy,Peggy Sue Owens,Deian Salazar,Noah Ernst,Joe Furi
Candace Avalos,Cayle Tern,Timur Ender,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
David Linn,Noah Ernst,Cayle Tern,Terrence Hayes,,
Timur Ender,Candace Avalos,Cayle Tern,,,
David Linn,Michael (Mike) Sands,Thomas Shervey,Steph Routh,Jamie Dunphy,Noah Ernst
Loretta Smith,Terrence Hayes,Michael (Mike) Sands,Steph Routh,Jamie Dunphy,Timur Ender
Terrence Hayes,,,,,
Candace Avalos,Jamie Dunphy,Steph Routh,,,
Steph Routh,Jamie Dunphy,Timur Ender,Terrence Hayes,Noah Ernst,
Candace Avalos,Steph Routh,Jamie Dunphy,Cayle Tern,,
Noah Ernst,Loretta Smith,Joe Allen,Jamie Dunphy,Joe Furi,Deian Salazar
Candace Avalos,Cayle Tern,Timur Ender,,,
Jamie Dunphy,Cayle Tern,Candace Avalos,Timur Ender,David Linn,Steph Routh
Loretta Smith,,,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Loretta Smith,Cayle Tern
Terrence Hayes,David Linn,Noah Ernst,Deian Salazar,Candace Avalos,Joe Furi
Jamie Dunphy,Michael (Mike) Sands,Steph Routh,Doug Clove,,
Noah Ernst,Deian Salazar,Doug Clove,Terrence Hayes,Joe Furi,
Candace Avalos,Jamie Dunphy,Timur Ender,Terrence Hayes,,
Candace Avalos,Jamie Dunphy,Timur Ender,David Linn,Cayle Tern,Terrence Hayes
Terrence Hayes,Joe Allen,Joe Furi,Doug Clove,Loretta Smith,
Terrence Hayes,Loretta Smith,Steph Routh,Timur Ender,,
Noah Ernst,Joe Allen,Doug Clove,Terrence Hayes,,
Candace Avalos,,,,,
Candace Avalos,Timur Ender,Cayle Tern,Loretta Smith,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Terrence Hayes,Joe Furi,Noah Ernst,Peggy Sue Owens,,
Joe Furi,Thomas Shervey,Jamie Dunphy,Loretta Smith,Joe Allen,Doug Clove
Cayle Tern,,,,,
Timur Ender,,,,,
Timur Ender,,,,,
Noah Ernst,,,,,
Candace Avalos,Steph Routh,Timur Ender,,,
Loretta Smith,Steph Routh,Terrence Hayes,,,
Deian Salazar,Candace Avalos,,,,
Jamie Dunphy,Loretta Smith,Candace Avalos,Terrence Hayes,,
Loretta Smith,Candace Avalos,Peggy Sue Owens,Cayle Tern,Timur Ender,Noah Ernst
Joe Allen,Doug Clove,Thomas Shervey,,,
Steph Routh,Jamie Dunphy,Timur Ender,Terrence Hayes,Candace Avalos,Noah Ernst
Michael (Mike) Sands,Doug Clove,Jamie Dunphy,,,
Timur Ender,Jamie Dunphy,Steph Routh,,,
Terrence Hayes,,,,,
Noah Ernst,Timur Ender,David Linn,Candace Avalos,Doug Clove,Joe Furi
Candace Avalos,Steph Routh,Cayle Tern,Timur Ender,David Linn,Jamie Dunphy
Terrence Hayes,Loretta Smith,Joe Furi,Candace Avalos,,
Jamie Dunphy,Loretta Smith,Steph Routh,Terrence Hayes,Deian Salazar,Doug Clove
Candace Avalos,Loretta Smith,Jamie Dunphy,Timur Ender,Steph Routh,
Deian Salazar,Joe Allen,Noah Ernst,Peggy Sue Owens,Loretta Smith,Jamie Dunphy
Timur Ender,,,,,
David Linn,Candace Avalos,Terrence Hayes,Joe Furi,Cayle Tern,Loretta Smith
Noah Ernst,,,,,
Doug Clove,Jamie Dunphy,Timur Ender,Noah Ernst,Terrence Hayes,David Linn
Noah Ernst,,,,,
David Linn,Noah Ernst,Cayle Tern,Terrence Hayes,,
Jamie Dunphy,Steph Routh,Timur Ender,,,
Loretta Smith,Terrence Hayes,Michael (Mike) Sands,Doug Clove,David Linn,Noah Ernst
Candace Avalos,Jamie Dunphy,Timur Ender,Steph Routh,Terrence Hayes,Joe Furi
Timur Ender,Noah Ernst,Terrence Hayes,,,
Loretta Smith,Terrence Hayes,Candace Avalos,Jamie Dunphy,Steph Routh,Cayle Tern
Candace Avalos,Steph Routh,Noah Ernst,Loretta Smith,Terrence Hayes,Jamie Dunphy
Loretta Smith,Steph Routh,Cayle Tern,Deian Salazar,Candace Avalos,Timur Ender
Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
Jamie Dunphy,Terrence Hayes,Candace Avalos,Loretta Smith,,
Loretta Smith,Candace Avalos,Steph Routh,,,
Timur Ender,David Linn,Cayle Tern,Joe Furi,Deian Salazar,Jamie Dunphy
Noah Ernst,Loretta Smith,Doug Clove,David Linn,Terrence Hayes,
Jamie Dunphy,Candace Avalos,,,,
Loretta Smith,Doug Clove,,,,
Timur Ender,Candace Avalos,Loretta Smith,Steph Routh,Cayle Tern,David Linn
Doug Clove,Loretta Smith,Terrence Hayes,Steph Routh,Peggy Sue Owens,Noah Ernst
Jamie Dunphy,Noah Ernst,Steph Routh,Thomas Shervey,Cayle Tern,
Candace Avalos,Terrence Hayes,Loretta Smith,Steph Routh,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Timur Ender,Steph Routh,Michael (Mike) Sands,Loretta Smith,Terrence Hayes,David Linn
Cayle Tern,Candace Avalos,Steph Routh,Loretta Smith,David Linn,Doug Clove
Noah Ernst,Cayle Tern,,,,
Noah Ernst,Doug Clove,Joe Allen,Thomas Shervey,Joe Furi,Terrence Hayes
Candace Avalos,,,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Timur Ender,Loretta Smith,Candace Avalos,Steph Routh,Terrence Hayes,Jamie Dunphy
Loretta Smith,Noah Ernst,,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Noah Ernst,Doug Clove,Terrence Hayes,,,
Joe Allen,Joe Furi,Thomas Shervey,,,
Loretta Smith,Timur Ender,David Linn,Deian Salazar,Terrence Hayes,Jamie Dunphy
Candace Avalos,,,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Michael (Mike) Sands,Doug Clove
Timur Ender,Noah Ernst,David Linn,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Noah Ernst,Joe Allen,David Linn,Doug Clove,Deian Salazar,
Steph Routh,Terrence Hayes,Deian Salazar,David Linn,Noah Ernst,Jamie Dunphy
Deian Salazar,Noah Ernst,Loretta Smith,Jamie Dunphy,David Linn,Doug Clove
Noah Ernst,Steph Routh,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern
Loretta Smith,Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,Cayle Tern
Joe Allen,Cayle Tern,Noah Ernst,Deian Salazar,Jamie Dunphy,Candace Avalos
Loretta Smith,Steph Routh,,,,
Loretta Smith,Steph Routh,Terrence Hayes,,,
Timur Ender,Michael (Mike) Sands,Deian Salazar,Joe Furi,Loretta Smith,Terrence Hayes
Noah Ernst,Jamie Dunphy,Timur Ender,,,
Candace Avalos,Steph Routh,Cayle Tern,Jamie Dunphy,,
Doug Clove,,,,,
Doug Clove,Michael (Mike) Sands,Steph Routh,Thomas Shervey,Terrence Hayes,Loretta Smith
Terrence Hayes,Loretta Smith,Joe Furi,Candace Avalos,,
Steph Routh,Jamie Dunphy,Candace Avalos,David Linn,Thomas Shervey,Terrence Hayes
Loretta Smith,Candace Avalos,Jamie Dunphy,,,
Loretta Smith,Deian Salazar,Candace Avalos,Joe Furi,Steph Routh,David Linn
Terrence Hayes,Candace Avalos,Timur Ender,Joe Allen,Jamie Dunphy,Steph Routh
Jamie Dunphy,,,,,
Terrence Hayes,Loretta Smith,Steph Routh,,,
Timur Ender,Cayle Tern,Steph Routh,Jamie Dunphy,,
David Linn,,,,,
Candace Avalos,Timur Ender,,,,
Loretta Smith,Jamie Dunphy,Terrence Hayes,David Linn,Timur Ender,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Steph Routh,Jamie Dunphy,Joe Allen,Doug Clove,Loretta Smith,Peggy Sue Owens
Noah Ernst,Jamie Dunphy,Terrence Hayes,Loretta Smith,Joe Furi,Doug Clove
Noah Ernst,Doug Clove,Joe Furi,Peggy Sue Owens,Deian Salazar,Write-in-122
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Loretta Smith,Candace Avalos,Steph Routh,Timur Ender,Terrence Hayes,Jamie Dunphy
Terrence Hayes,Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,Noah Ernst
Steph Routh,Candace Avalos,Timur Ender,Doug Clove,Noah Ernst,Thomas Shervey
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,
Loretta Smith,Candace Avalos,Michael (Mike) Sands,Joe Allen,Noah Ernst,Peggy Sue Owens
Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,Jamie Dunphy,Noah Ernst
Timur Ender,Candace Avalos,Terrence Hayes,David Linn,,
Timur Ender,Loretta Smith,Candace Avalos,Steph Routh,Michael (Mike) Sands,David Linn
Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
Michael (Mike) Sands,Steph Routh,Peggy Sue Owens,David Linn,Deian Salazar,Jamie Dunphy
Candace Avalos,Jamie Dunphy,Steph Routh,David Linn,Cayle Tern,Timur Ender
Timur Ender,Candace Avalos,Cayle Tern,Steph Routh,Jamie Dunphy,Michael (Mike) Sands
Terrence Hayes,Loretta Smith,Joe Allen,Peggy Sue Owens,Joe Furi,Thomas Shervey
Loretta Smith,Jamie Dunphy,Timur Ender,Steph Routh,Thomas Shervey,Terrence Hayes
Joe Allen,Candace Avalos,Deian Salazar,Timur Ender,Peggy Sue Owens,Loretta Smith
Steph Routh,Candace Avalos,,,,
Steph Routh,Jamie Dunphy,Loretta Smith,David Linn,Candace Avalos,Noah Ernst
David Linn,Timur Ender,Candace Avalos,Peggy Sue Owens,Joe Furi,Terrence Hayes
Steph Routh,,,,,
Steph Routh,Peggy Sue Owens,Doug Clove,Loretta Smith,,
